case_id,material_class,temperature_K,theta_deg,initial_onset_classification,reinitiation_classification,final_delta_K_reinit_MPa_sqrt_m,classification_scope,tensor_state_limitation
canonical_single_crack_theta__weakt__T1000K__theta15__rate1x__seed2008666,weak-T,1000.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1000K__theta30__rate1x__seed2008666,weak-T,1000.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T1000K__theta45__rate1x__seed2008666,weak-T,1000.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,2.129568555583358,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T1050K__theta0__rate1x__seed2009675,weak-T,1050.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1050K__theta15__rate1x__seed2009675,weak-T,1050.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1050K__theta30__rate1x__seed2009675,weak-T,1050.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T1050K__theta45__rate1x__seed2009675,weak-T,1050.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T1100K__theta0__rate1x__seed2010684,weak-T,1100.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-3.4034054199486157,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1100K__theta15__rate1x__seed2010684,weak-T,1100.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-1.2334048826241286,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1100K__theta30__rate1x__seed2010684,weak-T,1100.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T1100K__theta45__rate1x__seed2010684,weak-T,1100.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,POSITIVE_REINITIATION_MIXED_LOCAL_DOMINANT,1.6218500108627047,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T1150K__theta0__rate1x__seed2011693,weak-T,1150.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1150K__theta15__rate1x__seed2011693,weak-T,1150.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-2.393350005555817,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1150K__theta30__rate1x__seed2011693,weak-T,1150.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T1150K__theta45__rate1x__seed2011693,weak-T,1150.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T1200K__theta0__rate1x__seed2012702,weak-T,1200.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1200K__theta15__rate1x__seed2012702,weak-T,1200.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1200K__theta30__rate1x__seed2012702,weak-T,1200.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T1200K__theta45__rate1x__seed2012702,weak-T,1200.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T1250K__theta0__rate1x__seed2013711,weak-T,1250.0,0.0,THETA0_REFERENCE,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1250K__theta15__rate1x__seed2013711,weak-T,1250.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1250K__theta30__rate1x__seed2013711,weak-T,1250.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T1250K__theta45__rate1x__seed2013711,weak-T,1250.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_theta0_shared__weakt__T1300K__theta0__rate1x__seed2014720,weak-T,1300.0,0.0,THETA0_REFERENCE,NEGATIVE_REINITIATION_SOFTENING,-2.5652794268230465,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1300K__theta15__rate1x__seed2014720,weak-T,1300.0,15.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NEGATIVE_REINITIATION_SOFTENING,-2.597244648035968,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_single_crack_theta__weakt__T1300K__theta30__rate1x__seed2014720,weak-T,1300.0,30.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
canonical_strain_rate__weakt__T1300K__theta45__rate1x__seed2014720,weak-T,1300.0,45.0,LOWER_INITIAL_ONSET_LOCAL_TENSOR_DRIVE_OR_STATE_EVOLUTION,NO_REINITIATION,,exact_K_equals_C_times_U_decomposition_plus_archived_scalar_state,complete_tensor_and_exact_evolved_state_swaps_unavailable
