framework,class,T_K,Kc_first_MPa_sqrt_m,n_growth_events,case_dir,source_file,crack_extension_um,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_std_all_points_MPa_sqrt_m,K_first_rcurve_MPa_sqrt_m,K_last_rcurve_MPa_sqrt_m,is_complete,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,peak,600,13.59869453396577,125,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T600_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,500.08201433558287,125,16.845107321397364,17.06145273453792,2.6221139214809837,13.59869453396577,20.06350407596676,True,13.48,0.11869453396576901,0.008805232490042211,0.8805232490042212
PF sharp-front,peak,600,13.44331625995321,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T600_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,500.6258666730387,132,16.763752627441438,16.0996240573718,2.257389027386346,13.44331625995321,15.162797134926612,True,13.48,-0.03668374004679009,-0.002721345700800452,-0.2721345700800452
FEM/CZM,peak,700,11.056275109759428,130,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T700_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,501.7367339937716,130,14.537166914153984,12.712579857371807,4.139993133963118,11.056275109759428,18.54457594430488,True,11.0,0.05627510975942762,0.0051159190690388745,0.5115919069038875
PF sharp-front,peak,700,11.005998085481924,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T700_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,502.8516392252545,132,13.484132008936523,13.167105243858598,1.4992362714372465,11.005998085481924,12.787529610310845,True,11.0,0.0059980854819237095,0.0005452804983567008,0.054528049835670084
FEM/CZM,peak,800,9.187043069024153,135,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T800_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,504.3204258410737,135,13.892937320249448,14.942725720745688,3.659067463641826,9.187043069024153,19.416397229260184,True,9.4,-0.21295693097584767,-0.02265499265700507,-2.265499265700507
PF sharp-front,peak,800,9.52737262537929,17,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T800_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,65.58869703575593,17,10.117128932149443,10.056656062244564,0.6973317154111958,9.52737262537929,10.6834992824897,False,9.4,0.12737262537928906,0.013550279295669048,1.3550279295669048
FEM/CZM,peak,900,8.2371150939708,135,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T900_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,503.65506813830314,135,10.603155253936112,10.702493532021936,2.9922450471873474,8.2371150939708,14.54246864088392,True,11.92,-3.6828849060291997,-0.308966854532651,-30.8966854532651
PF sharp-front,peak,900,20.334141449819217,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T900_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,503.56604054425674,132,18.738554812519403,19.65972533382189,8.720958051903871,20.334141449819217,7.8118678751788355,True,11.92,8.414141449819217,0.7058843498170484,70.58843498170484
FEM/CZM,peak,1000,0.6778240235284673,135,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T1000_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,503.8657316865697,135,6.58452315201601,6.386214492555152,2.4143313283762593,0.6778240235284673,11.021303482405118,True,0.48,0.19782402352846729,0.4121333823509735,41.21333823509735
PF sharp-front,peak,1000,0.0,132,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T1000_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,501.9763012956801,132,4.086753250573418,4.305275503004606,1.6070724716519214,0.0,6.006843536318945,True,0.48,-0.48,-1.0,-100.0
FEM/CZM,peak,1100,0.0353965504173198,130,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T1100_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,502.78672926358774,130,0.823992148222727,0.865387342437482,0.35693630207707405,0.0353965504173198,1.3525489159862782,True,0.02,0.015396550417319802,0.76982752086599,76.982752086599
PF sharp-front,peak,1100,0.0287108717372521,133,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T1100_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,502.9517359143368,133,0.705739786931756,0.7548868785931448,0.29749483149660017,0.0287108717372521,1.076404233095721,True,0.02,0.008710871737252098,0.4355435868626049,43.55435868626049
FEM/CZM,peak,1200,1.3252365234294085e-06,119,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/peak/T1200_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,503.1377671053899,119,7.823965893741095e-05,8.28680989320316e-05,4.691247118541561e-05,1.3252365234294085e-06,0.0001499514545504,True,0.02,-0.01999867476347657,-0.9999337381738286,-99.99337381738286
PF sharp-front,peak,1200,1.1023538311587204e-06,128,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/peak/T1200_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,502.8289906151171,128,8.996616283039264e-05,8.654005686801528e-05,5.7574791540587925e-05,1.1023538311587204e-06,0.0002019380525285,True,0.02,-0.019998897646168842,-0.9999448823084421,-99.99448823084421
FEM/CZM,weakT,300,16.50831609503715,130,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/weakT/T300_th45,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/four_class_temperature_summary.csv,502.87375316831225,130,17.460632302554803,17.023827037608562,2.742425597330818,16.50831609503715,19.28727609427122,True,16.26,0.24831609503714702,0.015271592560710147,1.5271592560710148
PF sharp-front,weakT,300,16.408712297803014,2,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/weakT/T300_th45,runs/PF-four_class_exp_floor_PF_sharp_no_branch_500um_theta45/four_class_temperature_summary.csv,1480.0,2,15.760742840806815,15.760742840806815,0.6479694569961989,16.408712297803014,15.112773383810616,True,16.26,0.1487122978030122,0.009145897773862988,0.9145897773862988
