framework,class,T_K,Kc_first_MPa_sqrt_m,crack_extension_um,n_growth_events,case_dir,record_source,source_priority,source_file,rate_factor,rate_label,n_r_curve_points,K_mean_all_points_MPa_sqrt_m,K_median_all_points_MPa_sqrt_m,K_p10_all_points_MPa_sqrt_m,K_p90_all_points_MPa_sqrt_m,is_complete,first_passage_MPa_sqrt_m,K_analytic_interp_MPa_sqrt_m,error_vs_analytic_MPa_sqrt_m,relative_error_vs_analytic,percent_error_vs_analytic
FEM/CZM,ceramic,700.0,6.333413852180934,500.89398957242406,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T700_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T700_th45/summary.json,0.1,0.1x,127,8.784186142553613,7.546707144325456,6.661808301524977,12.900478796442997,True,6.333413852180934,6.74,-0.4065861478190662,-0.060324354275825845,-6.032435427582585
FEM/CZM,ceramic,800.0,4.968588176576019,502.049640080243,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T800_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T800_th45/summary.json,0.1,0.1x,130,7.151601070160072,6.121703316656851,5.163735143160247,10.349077795669375,True,4.968588176576019,5.14,-0.17141182342398054,-0.03334860377898454,-3.3348603778984542
FEM/CZM,ceramic,900.0,2.5856636960915864,502.7828862018207,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T900_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T900_th45/summary.json,0.1,0.1x,137,5.1122874327045755,4.346493587223958,3.1568996183732865,7.68669746997335,True,2.5856636960915864,2.5,0.08566369609158642,0.034265478436634564,3.426547843663456
FEM/CZM,ceramic,1000.0,0.120702740801181,503.335150431703,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T1000_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T1000_th45/summary.json,0.1,0.1x,130,1.1505881891764775,1.0383739136622383,0.540927555404179,1.9690424659715924,True,0.120702740801181,0.02,0.100702740801181,5.03513704005905,503.513704005905
FEM/CZM,ceramic,1100.0,0.0003470472907362713,501.50090733639826,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T1100_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T1100_th45/summary.json,0.1,0.1x,118,0.017196303520568883,0.018014577846917602,0.0030578890441496304,0.03354644026708546,True,0.0003470472907362713,0.02,-0.01965295270926373,-0.9826476354631865,-98.26476354631865
FEM/CZM,ceramic,1200.0,3.033829583432403e-06,503.1377671053899,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T1200_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_0.1x/ceramic/T1200_th45/summary.json,0.1,0.1x,119,0.00014839619122058295,0.0001577046399541,2.696055023343911e-05,0.00027919539738628,True,3.033829583432403e-06,0.02,-0.019996966170416568,-0.9998483085208284,-99.98483085208284
FEM/CZM,ceramic,300.0,11.935152333423499,501.0253299407533,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T300_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T300_th45/summary.json,1.0,1x,138,14.830558276970324,15.044485344057893,11.969467657730997,17.32664485532115,True,11.935152333423499,11.72,0.21515233342349838,0.018357707629991327,1.8357707629991327
FEM/CZM,ceramic,400.0,10.633575007536919,500.387221507801,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T400_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T400_th45/summary.json,1.0,1x,135,13.499166940587543,13.392846987968271,10.652059389496914,16.65229357656817,True,10.633575007536919,10.58,0.05357500753691902,0.005063800334302365,0.5063800334302365
FEM/CZM,ceramic,500.0,9.391240202806367,500.8686013279354,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T500_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T500_th45/summary.json,1.0,1x,130,13.063994387125497,12.966234081801407,9.387238506922595,17.454273685691874,True,9.391240202806367,9.48,-0.08875979719363336,-0.009362847805235585,-0.9362847805235586
FEM/CZM,ceramic,600.0,8.149772064265631,501.7930724438887,,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T600_th45,per_case_summary,1,runs/four_class_exp_floor_CZM_rates_no_branch_500um_theta45/rate_1x/ceramic/T600_th45/summary.json,1.0,1x,136,11.351697884582617,9.862147495290342,8.235757167456356,17.61926520317762,True,8.149772064265631,8.36,-0.21022793573436793,-0.02514688226487655,-2.514688226487655
