class,replicate,seed,bin_start_um,bin_end_um,bin_center_um,K_median_MPa_sqrt_m,K_mean_MPa_sqrt_m,K_p10_MPa_sqrt_m,K_p90_MPa_sqrt_m,n,complete
ceramic,1,1101,600.0,625.0,612.5,14.310710885424948,14.332869120437522,14.087663295460553,14.596613439124138,7,True
ceramic,1,1101,625.0,650.0,637.5,14.897300889664912,14.920910629794827,14.793901940725124,15.071529058994443,6,True
ceramic,1,1101,650.0,675.0,662.5,14.854377380521193,14.869773552473903,14.681327957843743,15.055252218393926,7,True
ceramic,1,1101,675.0,700.0,687.5,15.337976638711494,15.440434952568003,15.033401015688076,15.94992720330444,6,True
ceramic,1,1101,700.0,725.0,712.5,15.303005841757557,15.71994919226573,14.544434502458925,16.886551724660027,7,True
ceramic,1,1101,725.0,750.0,737.5,14.706803019644772,14.88027411965203,14.099968896180235,15.76864314776305,7,True
ceramic,1,1101,750.0,775.0,762.5,14.052520948002046,14.495812994681266,13.332192880906778,15.742433650977214,8,True
ceramic,1,1101,775.0,800.0,787.5,13.189682854936315,14.036284396546058,12.743852893201664,15.898884135829693,8,True
ceramic,1,1101,800.0,825.0,812.5,14.38143673544212,14.583179756349754,13.619322791142215,15.733316970485582,7,True
ceramic,1,1101,825.0,850.0,837.5,14.229038546401595,14.33839823690342,13.831495282453506,14.846819745091125,7,True
ceramic,1,1101,850.0,875.0,862.5,14.674569825219773,14.650850097505224,14.346941256706824,14.89655200491853,8,True
ceramic,1,1101,875.0,900.0,887.5,14.422504420737663,14.446140337866868,14.266710151641677,14.666834133058662,7,True
ceramic,1,1101,900.0,925.0,912.5,15.302936496930243,15.728153574832634,14.659456325100559,17.476665840381468,7,True
ceramic,1,1101,925.0,950.0,937.5,12.71493148640872,12.574528650373866,11.98358909887125,13.025065365841636,6,True
ceramic,1,1101,950.0,975.0,962.5,14.809323689615837,15.133146127516165,13.82028930177836,16.769825391154296,6,True
ceramic,1,1101,975.0,1000.0,987.5,17.339029482474764,17.278799409816543,17.113802819428322,17.38356592754654,6,True
ceramic,2,1102,0.0,25.0,12.5,9.204541196301331,9.236289643381506,9.051064088110486,9.4532636457327,6,True
ceramic,2,1102,25.0,50.0,37.5,9.404892563614537,9.386994461767317,9.213915428374388,9.542175393313029,6,True
ceramic,2,1102,50.0,75.0,62.5,9.879171196762377,9.821443489942064,9.327057893310343,10.295801544950882,7,True
