backend,theta_deg,extension_um,physical_path_extension_um,tip_radius_um,reference_opening_m,drive_factor_system_0,drive_factor_system_1,tau_signed_system_0_Pa,tau_signed_system_1_Pa,opening_stress_Pa,sigma_nn_probe_Pa,sigma1_probe_Pa,tau_over_opening_system_0,tau_over_opening_system_1,reliable,field_snapshot_hash,topology_fingerprint,source_commit
PF,45.0,30.000000000000004,30.0,25.0,1e-05,0.8337361326460956,0.016187519906658485,537096008.1615005,-10428062.28909313,1288407655.9255638,200290204.1336471,1288407655.9255638,0.4168680663230478,-0.008093759953329243,True,2c6c3a3636d88ba6f9b33b5ed2789743ac11ffff4fbdaa0ba2488bc6ae422cf7,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,30.000000000000004,30.0,50.0,1e-05,0.22571932517761725,0.00668187225821403,332519126.6854432,-9843420.92187569,2946306227.203061,2946273069.104253,2946306227.203061,0.11285966258880863,-0.003340936129107015,True,2c6c3a3636d88ba6f9b33b5ed2789743ac11ffff4fbdaa0ba2488bc6ae422cf7,68c46aef480acc95b28b179793e95b8b8c0d3c6dba3530b45c5874598f6e17d9,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,35.00000000000001,35.0,1.0,1e-05,0.28787546640126743,0.009414277306538007,-156161081.13149312,-5106873.957127816,1084921081.2137868,397251817.18466324,1084921081.2137868,-0.14393773320063372,-0.004707138653269004,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,35.00000000000001,35.0,2.0,1e-05,0.30737572933488594,0.009204280102523135,170543387.3924799,-5106873.957127816,1109673738.791997,435175589.6268557,1109673738.791997,0.15368786466744297,-0.004602140051261567,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,35.00000000000001,35.0,4.0,1e-05,0.3025811653745812,0.019605781878782886,206794515.04627922,13399274.706034396,1366869711.0758853,1357471694.7132738,1366869711.0758853,0.1512905826872906,0.009802890939391443,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,35.00000000000001,35.0,8.0,1e-05,0.549001103389425,0.019605781878782886,375206489.7851228,13399274.706034396,1366869711.0758853,1366498614.7438896,1366869711.0758853,0.2745005516947125,0.009802890939391443,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,35.00000000000001,35.0,12.0,1e-05,0.23010501090580687,0.006236651248720345,394198036.3355394,-10684146.624523196,3426244693.966302,3426243482.192063,3426244693.966302,0.11505250545290344,-0.0031183256243601724,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,35.00000000000001,35.0,25.0,1e-05,1.0001724960849738,0.021330805943991348,500965112.4315506,-10684146.624523196,1001757425.6290867,340444034.66822034,1001757425.6290867,0.5000862480424869,-0.010665402971995674,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,35.00000000000001,35.0,50.0,1e-05,0.19240195022370515,0.007224950448249621,345294427.567492,-12966267.370633338,3589302781.6611967,3589177194.7885303,3589302781.6611967,0.09620097511185258,-0.0036124752241248107,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,40.0,40.0,1.0,1e-05,0.23115569362094524,0.14051383997315592,170543387.3924799,103669115.25806122,1475571591.778666,1465530122.5991287,1475571591.778666,0.11557784681047262,0.07025691998657796,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,40.0,40.0,2.0,1e-05,0.28787546640126743,0.024700920533396897,-156161081.13149312,13399274.706034396,1084921081.2137868,397251817.18466324,1084921081.2137868,-0.14393773320063372,0.012350460266698449,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
PF,45.0,40.0,40.0,4.0,1e-05,0.6900871135786945,0.03021997651276083,305978623.18095267,13399274.706034396,886782602.254926,472518263.4898013,886782602.254926,0.3450435567893472,0.015109988256380415,True,9760f73acb95e3023bfa47621400ce39cd45ed36d584933fa48d5a911c745223,36ccc446d053bd8e89f775ae6f3bdb9a0d78e49e512723a00cc62be061cc6ab2,9e884fb0b0845da621d2612bdf1042e481b8df49
