campaign_of_record,canonical_job_key,protocol,registry_status,controller_status,final_disposition,note,campaigns_referencing
PX4_developed,48e2ea0bf0ef7013a43df8a55733ed21c514811b9fb5cac9ae849121fb9f9224,D2_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,0495343057ab9702c25f2cddda7f3800170510e6d1343fb2cd3f9ad37bf8b5c2,D2_confirm,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,e1ddc131888f6096e9ea6909b6e34b5988b4a9c673c0ae406b040b54ad61b24c,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,8904cd785db33ee20f8b68e52aa9d8dab9bbe0777f5dd636211c5fc767483dd5,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,246559c1960c83ca01755a208d2e67606eb4c3c9e9cbc3878e9e4a971b375fc1,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,f9b23ce6e9e1ca9abac75b37a6afb2d340110009f85c0147ae3b3e1c9891c831,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,daa359f07bd71cd4c4761c5e517ee0f4a7a660c2e18b88efb733199ed3f4383a,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,32ff68fb0cd7925e607c02b4f2525cfdbe53a89f7a748e7fe1019bec999c7623,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,b83c0d0af945f1410eff09d565bfed853f9f4f9f37697ebb437cc706cdde5a62,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,f0ac181728b90039d8c03eeb467ede74e39ad1a5c3b6cdc7282c68efb5b19526,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,3b5371f8d4e4249b9219dea2c390ab5501720e72487b471fd709f43b4ae1c78e,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
PX4_developed,e4ae105ab0463af6eadb1c61498e6ea3a0199ee3cc3638e18f3fba09f9d517d4,D3,AUTHORIZED_PX4,COMPLETE,ADMITTED,,PX4_developed
